name,source,family,expr,sign,nodes,zoo_overlap,ic_mean,pearson_ic,ic_t,ls_sharpe_ann,dsr,later_ic_mean,status
rnd_049,random,range,"Min(Corr($open,$low,10),60)/(Min(Corr($open,$low,10),10)+1e-12)-1",-1,17,1,0.004752160318997669,0.00338667728346645,0.8362039542299431,0.3578876256942749,0.005483723236275371,0.008445719371970688,rejected
rnd_050,random,reversal,"Mean($vwap,5)/(Mean($vwap,20)+1e-12)-1",-1,11,1,0.02101126040937893,0.007637098474301811,2.4212429943038565,0.17726215720176697,0.0009138516371553497,0.010032247867350914,rejected
rnd_051,random,other,"Corr(($close/$vwap-1),$close,60)",-1,8,1,0.0061898291691195205,0.0037992750778408023,1.1219866365360311,0.16549135744571686,0.0009734596259555783,-0.0012993556815798187,rejected
rnd_053,random,volatility,"Std(($close-Mean($close,40))/(Std($close,40)+1e-12),10)/(Slope($open,5)+1e-12)",-1,19,3,0.003939476527683729,0.002287204811865377,2.302750845951505,0.5709428787231445,0.024189850655865944,-0.006623408259635713,rejected
rnd_056,random,volatility,"Corr(($close-Mean($close,60))/(Std($close,60)+1e-12),$high,20)",1,14,3,0.007094002260443688,0.006372525105129446,0.9873802775751366,0.5233799815177917,0.016492410391808012,-0.00911462565357619,rejected
rnd_057,random,reversal,"Corr(($close/Ref($close,1)-1),$open,20)",-1,10,7,0.00047567067339234653,-0.0027357304364118407,-0.04177206903807183,-0.5226411819458008,4.803690833630782e-08,-0.001508749192185006,rejected
rnd_058,random,range,"Mean(Sum($low,40)/(Max(Log($volume+1),20)+1e-12),60)",1,14,4,0.015246955122994134,0.014819020453172835,2.402528619896234,0.47652536630630493,0.014965947280454644,-0.028955600146946536,rejected
rnd_059,random,other,"Delta(($close/$vwap-1),60)",-1,7,1,0.02049260408646751,0.018934078831030956,2.926239232327754,0.7403456568717957,0.07404022540683115,-0.0002167338965149549,rejected
rnd_060,random,reversal,"Mean($open,10)",1,3,1,0.010744638087424803,0.012527313424885552,1.675135238048637,0.364507794380188,0.0062073485116094,-0.032073204030544776,rejected
rnd_061,random,range,"Corr($high,($close/Ref($close,1)-1),40)",-1,10,7,0.010768356032894649,0.00530924924626966,1.8598022140991253,-0.14958512783050537,2.105437997584807e-05,0.016756474834107787,rejected
rnd_062,random,trend,"Corr(Mean($vwap,40)/(Mean($vwap,5)+1e-12)-1,($close/$vwap-1),5)",1,18,1,0.0024896268162072762,0.002156958969763543,0.7732233568096022,0.28223302960395813,0.001855724088397707,0.007868691823124644,rejected
rnd_064,random,price_volume,"EMA(Corr($close,$high,60),20)/(EMA($volume,20)+1e-12)",1,12,1,0.021185356733611133,0.013806405541691118,3.1114458550995785,0.38013163208961487,0.006924112104049146,-0.008541939271840555,rejected
rnd_065,random,range,"Corr((($high-$low)/$close),$vwap,5)",-1,8,3,0.02790143124250518,0.02274871688251601,5.197294052832186,1.2572919130325317,0.5202182590686312,0.00813699339691306,probation
rnd_066,random,range,"Slope(Min((($high-$low)/$close),60)/(Min((($high-$low)/$close),10)+1e-12)-1,40)",1,21,3,0.008394449501736793,0.00561330463423549,1.5124782100358858,0.1612444669008255,0.000893583708784663,0.010589190141191421,rejected
rnd_067,random,range,"Max((($high-$low)/$close),40)/(Max((($high-$low)/$close),10)+1e-12)-1",1,19,3,0.00837781273991086,-0.00533671451428374,1.8314007162847794,-0.052215952426195145,9.684232202540335e-05,-0.009232604528932663,rejected
rnd_068,random,price_volume,"Corr(Slope($volume,60),$high,20)",-1,6,1,0.012253246679443747,0.004605685341226593,2.1894496969766224,0.21887613832950592,0.0015953911187732899,0.015740258912641057,rejected
rnd_072,random,price_volume,"Corr(Log($volume+1),$high,20)",-1,7,4,0.041253482815546444,0.030610965091361356,6.3679286757785665,1.6981595754623413,0.9030351609147088,0.02153201218606188,rejected
rnd_073,random,range,"Max($vwap,5)",1,3,1,0.010041623240435206,0.012249264176079846,1.570032431485944,0.3247167766094208,0.004397108032332578,-0.032692829280084865,rejected
rnd_075,random,range,"Max($vwap,5)/(Max($vwap,60)+1e-12)-1",-1,11,1,0.002286998747734302,-0.0037345384732501955,0.5317412581963129,0.0938277319073677,0.0004193154358913385,0.0008622619383368771,rejected
rnd_076,random,volatility,"($vwap-Mean($vwap,20))/(Std($vwap,20)+1e-12)",-1,11,1,0.020074628245422072,0.004402236399771252,2.3866727126054204,-0.010059485211968422,0.00014565946832649946,0.007011540005431738,rejected
rnd_080,random,price_volume,"Delta(Log($volume+1),10)",-1,6,4,0.0075120373289882135,0.0020665175477395732,1.3676448718663456,-0.2950654625892639,3.904670828558964e-06,0.0009694943359425738,rejected
rnd_081,random,range,"Rank($close,20)",-1,3,3,0.02448450602332267,0.00957860438412175,2.4132630846518883,-0.11014235764741898,8.902975262050962e-05,0.006016454218699678,rejected
rnd_082,random,volatility,"($vwap-Mean($vwap,10))/(Std($vwap,10)+1e-12)",-1,11,1,0.024047999029932005,0.0127863272611588,3.1120686048155464,0.2678585946559906,0.0024466339580084063,0.00432805965609814,rejected
rnd_083,random,range,"Mean((($high-$low)/$close),40)/(Mean((($high-$low)/$close),5)+1e-12)-1",1,19,3,0.0018590335364174451,-0.010120945365694788,1.054910325557179,-0.339083731174469,2.6469363719101758e-06,-0.0015415871249361802,rejected
rnd_084,random,volatility,"(($close/$vwap-1)-Mean(($close/$vwap-1),40))/(Std(($close/$vwap-1),40)+1e-12)",-1,23,1,0.02072216250315071,0.021051034543629034,2.587888380946595,0.6636400818824768,0.05314976476222999,-0.005915288704969276,rejected
rnd_085,random,range,"Min(Corr($high,(($high-$low)/$close),5),5)",-1,10,3,0.03198261516255567,0.028365216430905577,5.556607747650007,1.3649210929870605,0.6333580851447459,0.011542532470185378,probation
